congressional_unit_id,associated_province,province_congressional_unit_number,representatives_count,districts
1,TP. Hà Nội,1,3,"Quận Hoàn Kiếm,Quận Long Biên, Huyện Đông Anh"
2,TP. Hà Nội,2,3,"Quận Ba Đình,Quận Đống Đa,Quận Hai Bà Trưng"
3,TP. Hà Nội,3,3,"Quận Cầu Giấy,Quận Nam Từ Liêm,Quận Thanh Xuân"
4,TP. Hà Nội,4,3,"Quận Hoàng Mai,Huyện Gia Lâm"
5,TP. Hà Nội,5,3,"Quận Tây Hồ,Quận Bắc Từ Liêm,Huyện Hoài Đức"
6,TP. Hà Nội,6,3,"Quận Hà Đông,Huyện Thanh Trì,Huyện Thanh Oai"
7,TP. Hà Nội,7,3,"Thị xã Sơn Tây, Huyện Phúc Thọ, Huyện Ba Vì, Huyện Đan Phương"
8,TP. Hà Nội,8,3,"Huyện Quốc Oai, Huyện Chương Mỹ,Huyện Thạch Thất"
9,TP. Hà Nội,9,3,"Huyện Ứng Hoà,Huyện Mỹ Đức,Huyện Phú Xuyên,Huyện Thường Tín"
10,TP. Hà Nội,10,2,"Huyện Sóc Sơn, Huyện Mê Linh"
11,TP. Hồ Chí Minh,1,3,Thành phố Thủ Đức
12,TP. Hồ Chí Minh,2,3,"Quận 1, Quận 3, Quận Bình Thạnh"
13,TP. Hồ Chí Minh,3,3,"Quận 5, Quận 8, Quận 11"
14,TP. Hồ Chí Minh,4,3,"Quận 10, Quận 12"
15,TP. Hồ Chí Minh,5,3,"Quận Tân Bình, Quận Tân Phú"
16,TP. Hồ Chí Minh,6,3,Quận Bình Tân
17,TP. Hồ Chí Minh,7,3,Quận Phú Nhuận Gò Vấp
18,TP. Hồ Chí Minh,8,3,"Quận 6, Huyện Bình Chánh"
19,TP. Hồ Chí Minh,9,3,"Quận 4, Quận 7, Huyện Nhà Bè, Huyện Cần Giờ"
20,TP. Hồ Chí Minh,10,3,"Huyện Củ Chi, Huyện Hóc Môn"
21,TP. Hải Phòng,1,3,"Quận Hồng Bàng, Quận Lê Chân, Huyện Thủy Nguyên, Cát Hải, Bạch Long Vĩ"
